# Phonetic variant table (FR-LEX-4, technical design §9.1) — a versioned, bundled asset.
# version 2026.09.0
# Format: <spoken form> <TAB> <PhoneticUnit>. The spoken form is matched after normalising to
# lowercase with every non-alphanumeric character removed, so "x-ray", "x ray" and "xray" are
# one key. NATO, letter-name and legacy (WWII/ARRL) pronunciations all appear here so that
# AC-12 — three pronunciations of one callsign yield one result — holds structurally.

alpha	A
alfa	A
able	A
ay	A
america	A
adam	A
bravo	B
baker	B
bee	B
boston	B
charlie	C
cee	C
see	C
sea	C
canada	C
delta	D
dog	D
dee	D
david	D
echo	E
easy	E
ee	E
edward	E
foxtrot	F
fox	F
ef	F
eff	F
frank	F
golf	G
george	G
gee	G
hotel	H
how	H
aitch	H
henry	H
india	I
item	I
eye	I
ida	I
juliett	J
juliet	J
jig	J
jay	J
john	J
kilo	K
king	K
kay	K
kilowatt	K
lima	L
love	L
el	L
ell	L
london	L
mike	M
mexico	M
em	M
nancy	N
november	N
nan	N
en	N
oscar	O
oboe	O
ocean	O
otto	O
papa	P
peter	P
pee	P
quebec	Q
queen	Q
cue	Q
romeo	R
roger	R
ar	R
radio	R
sierra	S
sugar	S
es	S
ess	S
santiago	S
tango	T
tare	T
tee	T
thomas	T
uniform	U
uncle	U
yoo	U
united	U
victor	V
vee	V
whiskey	W
william	W
doubleu	W
washington	W
xray	X
ex	X
xylophone	X
yankee	Y
yoke	Y
wy	Y
wye	Y
yellow	Y
zulu	Z
zebra	Z
zed	Z
zee	Z
zanzibar	Z
zero	N0
nought	N0
one	N1
two	N2
three	N3
tree	N3
four	N4
fower	N4
five	N5
fife	N5
six	N6
seven	N7
eight	N8
nine	N9
niner	N9
stroke	STROKE
slash	STROKE
forwardslash	STROKE
portablemark	STROKE
